Rank,Player,Age,Points,Tournaments Played
1,Mate Pavic,28,"10,265",29
2,Nikola Mektic,33,"9,830",29
3,Joe Salisbury,29,"9,610",27
4,Rajeev Ram,37,"9,400",26
5,Nicolas Mahut,39,"7,735",26
6,Horacio Zeballos,36,"7,100",22
7,Marcel Granollers,35,"7,043",23
8,Pierre-Hugues Herbert,30,"6,660",20
9,Filip Polasek,36,"6,460",32
10T,Juan Sebastian Cabal,35,"5,525",25
10T,Robert Farah,34,"5,525",25
12,Ivan Dodig,36,"5,165",31
13,John Peers,33,"5,080",27
14,Kevin Krawietz,29,"4,698",32
15,Michael Venus,34,"4,511",25
16,Bruno Soares,39,"4,465",24
17,Horia Tecau,36,"4,410",22
18,Tim Puetz,34,"4,218",28
19,Jamie Murray,35,"4,108",31
20,Neal Skupski,32,"3,578",35
21,Wesley Koolhof,32,"3,485",29
22,Maximo Gonzalez,38,"3,260",30
23,Luke Saville,27,"2,966",49
24,Sander Gille,30,"2,825",44
25,Simone Bolelli,36,"2,795",34
26,Raven Klaasen,39,"2,792",35
27,Fabrice Martin,35,"2,785",47
28,Andrey Golubev,34,"2,770",45
29,Marcelo Melo,38,"2,765",32
30,Matwe Middelkoop,38,"2,730",46
31,Marcelo Arevalo,31,"2,683",41
32,Joran Vliegen,28,"2,665",40
33,Max Purcell,23,"2,660",36
34,Lukasz Kubot,39,"2,585",24
35,Santiago Gonzalez,38,"2,536",43
36,Nikola Cacic,31,"2,535",49
37,Ben McLachlan,29,"2,431",40
38,Jean-Julien Rojer,40,"2,348",29
39,Gonzalo Escobar,32,"2,325",48
40,Austin Krajicek,31,"2,295",35
41,Ariel Behar,32,"2,245",55
42,Edouard Roger-Vasselin,38,"2,200",21
43,Rohan Bopanna,41,"2,195",36
44,Hugo Nys,30,"2,190",45
45,Oliver Marach,41,"2,185",35
46,Andres Molteni,33,"2,120",41
47,Tomislav Brkic,31,"2,120",45
48,Alexander Bublik,24,"2,100",28
49,Andreas Mies,31,"2,094",30
50,Aisam-Ul-Haq Qureshi,41,"2,079",42
51,Marcus Daniell,32,"2,070",40
52,Philipp Oswald,35,"2,055",39
53,Franko Skugor,34,"2,010",25
54,Henri Kontinen,31,"1,990",21
